id,regDesc,regDescLong
1,BARMM,Bangsamoro Autonomous Region In Muslim Mindanao 
2,CAR,Cordillera Administrative Region 
3,NCR,National Capital Region 
4,REGION I,Ilocos Region
5,REGION I ,Ilocos Region
6,REGION II,Cagayan Valley
7,REGION II ,Cagayan Valley
8,REGION III ,Central Luzon
9,REGION IV-A ,Calabarzon
10,REGION IV-B ,Mimaropa
11,REGION IX ,Zamboanga Peninsula
12,REGION V ,Bicol Region
13,REGION VI ,Western Visayas
14,REGION VII ,Central Visayas
15,REGION VIII ,Eastern Visayas
16,REGION X ,Northern Mindanao
17,REGION XI ,Davao Region
18,REGION XII,Central Visayas
19,REGION XII ,Soccsksargen
20,REGION XIII ,Caraga
